darija,eng,darija_ar
9lbou makhayebch,his heart isn't bad,قلبو ماخايبش
9elbou zwin,his heart is pure,قلبو زوين
t2atar nefsiyan,he was affected emotionally,تأثر نفسيان
jra 3lih lwalid,my father kick him from the house,جرا عليه الواليد
ach ghadi ndir lih,what i'am gonna to do to him,أش غادي ندير ليه
koun l9a fih dow maghayjrich 3lih,if he were useful he won't kick him,كون لقا فيه دو ماغايجريش عليه
koun ghir t3alam chi 7erfa mgada,only if he learned the job,كون غير تعلم شي حرفة مجددة
makaysme3ch lhadra li tnef3ou,he don't listen to talk that will benefit him,ماكايسمعش لهدرا لي تنفعو
nta 9ase7 bzaf,you are so tough,نتا قاسح بزاف
syd makayt3ate9ch,he don't let it go,سيد ماكايتعطقش
nti 3arfaah ach dar,you know what he have done,نتي عارفة أش دار
safi 9leb had lmawdou3,change the subject,صافي قلب هاد الموضوع
nari 3la tbahdila behdlouhoum,they made them suffer,ناري على تبهدلة بهدلوهوم
safi ghir zgay,just stay quiet,صافي غير زڭاي
aji nmchetlek che3rek,come I want to breed your hair,أجي نمشتلك شعرك
3ti lsyd rez9ou,give him his money,عطي السيد رزقو
saraha lmatch kann dyalna,honestly we could have won the match,صراحة الماتش كان ديالنا
ghir zher ja men jihtkoum,you were lucky,غير زهر جا من جيهتكوم
s7ablek rasek la3eb fras derb,you think you are playing in street,سحابلك راسك لاعب فراس الدرب
yalah nmchiw nriy7ou m3a rjam,let's go sit with men,يالاه نمشيو نريحو معا رجم
whadouk ma3ejboukch,don't you like those,وهادوك ماعجبوكش
hada rajel 3likoum,he is more manly then you,هادا راجل عليكوم
mazal makat3arfouhch mzyan,you don't know him yet enough ,مازال ماكتعرفوهش مزيان
nod tga3ad men 7daya,leave me alone,نود تگعد من حدايا
lflous li ghaychitou dir bihoum sona,the money saved you could do with them  sona,الفلوس لي غايشيتو دير بيهوم سونا
mzyana hadi?,is it good ?,مزيانة هادي؟
yalah akhona nmchiw b7alna,let's go,يالاه أخويا نمشيو بحالنا
rak me3rouf,you are knowen,راك معروف
bedlou sa3a b khra adrari,let's change the subject,بدلو ساعة بخرا أدراري
wach bghiti saraha?,do you want honesty ?,واش بغيتي صراحة؟
wach nta m3ana wla m3ahoum,are you with us or with them,واش نتا معانا ولا معاهوم
bach ghankamlou sahra?,how we gonna finish the party,باش غانكملو سهرة?
safi nsa 3lia had lfilm,forget about this movie,صافي نسا عليا هاد الفيلم
goulia achnou kayn 3endek?,tell me what do you have,ڭوليا أشنو كاين عندك؟
dar rah khawya,the home is empty,دار راه خاوية
ghadi n3tik l3a9a,I will give you money,غادي نعطيك العقة
hak lflous sir t9edda lina,take the money and go shop for us,هاك الفلوس سير تقدا لينا
ghanmchiw ngelsou fdar,we will go to sit in home,غانمشيو نڭلسو فدار
yachti daba dwity,now you are talking,ياشتي دابا دويتي
lila ghada tkoun zahya,the night will be noisy,ليلة غدا تكون زاهية
yalah t7arak,okey go,يالاه تحرك
ghir chwia baraka,just a little bit enough,غير شوية باراكا
nzid ghir chwia,I add a litte bit,نزيد غير شوية
hadi hiya lw9ita,this is the time,هادي هيا لوقيتا
siri khoudi lik chi douch,go have some shower,سيري خودي ليك شي دوش
bach gheda tseb7i mzyana,so tomorrow you gonna be good,باش غدا تسبحي مزيانة
a7na 9rabna nkamlou wnmchiw,we are close to finish,أحنا قرابنا نكملو ونمشيو
ewa debri rasek,deal with it yourself,إوا دبري راسك
ghadi t9ala9 3lik,she will upset with you,غادي تقلق عليك
safi ghir tfi lbota,turn of the gaz,صافي غير تفي البوطة
ma3endi manlbes,i have nothing to wear,ماعندي مانلبس
bghit neghsel cha3li,i want to wash my hair,بغيت نغسل شعلي
kna mkhasmin,we were disputing,كنا مخاصمين
rani ghir kantfella m3ak,I'am joking with you,راني غير كانتفلّا معاك
had lkhedma katbghi sber,this job require patience,هاد الخدمة كتبغي سبر
3endek l7e9,you are right,عندك لحق
makrahtch nb9a m3ak,i wish i could stay with you,ماكراهتش نبقى معاك
choufi chkounn kayde9,look who knock,شوفي شكونّ كايديق
gheda 3ndi l ecole,I have school tomorrow,غدا عندي لإكول
tsbhi 3la khir,good night,تصبي على خير
heta nta khask trtah,you also need to rest,هيتا نتا خاصك ترتاه
ylh bach nmxi m3ak,okey i'am going with you,ياله باش نمشي معاك
wakha ylh nmchiw,okey let's go,واخا يلح نمشيو
wach frchti lia blasty ?,did you make my bed ?,واش فرشتي ليا بلاستي ?
rani frcht lik blastek,I made a place for you,راني فرشت ليك بلاصتك
gheda fy9ini bkri,tomorrow woke up me earlier,غدا فيقيني بكري
safi andir l alarme bkri,okey I will set alarm early,صافي إنير الألارم بكري
khli dow dial lmrah mch3oul,leave the light of the hallway off,خلي دو ديال المراه مشعول
tsbhi 3la khir abnti,good night dautgher,تصبي على خير أبنتي
khso imchi gheda ychouf tbib,he need to see the doctor tomorrow,خسو إمشي غدا يشوف طبيب
galia rah mriid,he told me he is sick,قاليا راه مريض
7alto mab9atch katfr7,his situation is very bad,حالتو مابقاتش كاتفرح
kayb9a bouhdou f dar,he stay alone in home,كايبقا بوحدو ف الدار
ana rah manasyach,I haven't forgot,أنا راه منسياش
hdrt m3a shabati f lkhdma,I talkedto my work friend,هدرت مع شبابتي ف الخدمة
s3iib lhal,it is difficult,سعيب لهال
njib chi ouhda ijrri 3liha,bring someone he can fire,نجيب شي وحدة يجري عليها
rajl rah mazal bikhir lhmdoullah,the men is fine ,راجل راه مزال بخير الحمد لله
mab9ach kayrkz,he can't focus anymore,مابقاش كايركز
mchit 3ndou f sbah,i did go to him in morning,مشيت عندو في الصباح
khella lbrrad fo9 l3afiya,he left kettle on top of fire,خلّا لبرّاد فوق لعافية
gheda darouri nmchiw nchoufouh,tomorrow we must go to see him,غدا ضروري نمشيو نشوفوه
dakchi bach 7bsou lkhedma,that why they stopped work,داكشي باش حبسو الخدمة
3lach katfkri bzaaf?,why are you thinking so much?,علاش كتفكري بزاف؟
safi kheli htal gheda,leave it until tomorrow,صافي خلي هتال غدا
bghit nmchi m3aak,i want to go with you,بغيت نمشي معاك
gheda bghit nsafr,tomorrow I want to travel,غدا بغيت نسافر
ghadi nmxi m3a jda,I will go with my grandmother,غادي نمشي مع جدة
3lach majawbtich 3lia,why you didn't answer me,علاش ماجاوبتيش عليا
bghit ntzwj had l3am,i want to get married this year,بغيت نتزوج هاد العام
khsni noud nmchi,I need to go ,خاصني نود نمشي
ba9i ghadi ndir l3cha,I'am still gonna do lunch,باقي غادي ندير العشاء
maghadich nhyd mn hedak,i won't stay away from you,ماغاديش نهيد من هادك
fiya jou3 bghit nakl,I'am hungry I want to eat,فيا جوع بغيت ناكل
tchehit lhem,i craved meat,تشهيت لهم
bghit nmchi ldar,i want to go home,بغيت نمشي لدار
twahcht malin dar,i miss my familly,تواهش مالين دار
maghadich ndi 3lik,i won't consider you,ماغاديش ندي عليك
rajl dar li 3lih,the men did what he supposed to do,راجل دار لي عليه
syd mab9ach kay39el,the men he don't remember anymore,سيد مابقاش كايعقل
kayjbed lmachakil m3a lclients,he start troubles with clients,كايجبد المشاكل معا لكلينت
ach had lhadra kadgouli?,what are you saying ?,أش هاد لهادرا كادڭولي?
had lkhedma li b9at rah sahla,this task left is easy,هاد الخدمة لي بقات راه ساهلة
safi ghankheli likoum hadchi tkamlouh,I will leave this for you to finish,صافي غانخلي ليكوم هادشي تكملوه
ana ghadi noukhrej,I'am going out,أنا غادي نخرج
goul ach 3endek,tell me what wrong with you,ڭول أش عندك
bghit nt3elem l7erfa,i want to learn a job,بغيت نتعلم لحرفة
had lkouzina katebghi zrana wsber,this kitchen want you to be sage and patient,هاد الكوزينة كتبغي زرانا وصبر
nta 3ziz 3lik 9ewet lhadra,you like talking to much,نتا عزيز عليك قوت الهضرة
bla matb9a tmalegh m3aya,don't joke with me,بلا ماتبقا تملغ معايا
be3da tma ghatel9a m3amen tehder,at least there you will find who to talk to,بعدا تما غاتلقا معامن تهضر
sir 9di choughlek,go do your thing,سير قدي شوڭلك
3endi macha3ir tijahou,i have some feeling toward him,عندي مشاعر تجاهو
b7ala wlit kanbghih,I started to like her,بحالا وليت كانبغيه
safi matsawlinich,don't ask me,صافي ماتسولينيش
sbat chat bzaf,the rain fall a lot,سبات شات بزاف
kant katsaban l7wayj lyouma,she were washing clothes today,كانت كاتسبان الحوايج اليوم
kayen lberd bzaf,is cold here,كاين البرد بزاف
fe9na bekri lyouma,we woke up early today,فقنا بكري اليوم
safi bla mateb9a tsawalni,don't ask me anymore,صافي بلا ماتبقا تسولني
tle3ti rajel,you are a men,تلعتي راجل
mchina lso9 t9adina,we did go to the market to shop,مشينا لسوق تقدينا
hahya kat3ayat 3lia,she is calling me,هاهي كاتعيط عليا
wach hada nta?,is that you ?,واش هادا نتا؟
jatni na9sa nred 3lik,it seems disrespectful to argue you ,جاتني ناقصة نرد عليك
fink nta daba?,where are you now,فينك نتا دابا؟
nta b3id wmamsalich lia,you are so far and you don't have time for me,نتا بعيد ومامساليش ليا
3tarf bli jiti tchoufni,i know that you come for me,عطرف بلي جيتي تشوفني
ana ghada l7anout,I'am going to shop,أنا غادا لحانوت
ah kane3taref,I confess,آه كانعتارف
nti raki tbiba dyali,you are my doctor,نتي راكي طبيبة ديالي
ma3arefch 3lach dwitou,i don't know what you talked about,ماعارفش علاش دويتو
momkin tsedou had lmawdou3,can you put an end to this subject,ممكن تسدو هاد الموضوع
bghit na9ch m3ak chi haja,i want to discuss something with you,بغيت نقش معاك شي حاجة
ljelsa salat,we finished our discussion,الجلسة سالات
aji3endi me7tajek darori,come to me I need you,أجيعندي محتاجك داروري
matlitch mchit,i didn't go,ماتليتش مشيت
makmaltich lhadra li bdity,you didn't finish the talk you started,ماكملتيش لهدرا لي بديتي
makayb9ach fik l7al,don't be sad,مكايبقاش فيك الحال
b9a fia l7al hint mahdarnach,it hurt me that we haven't talked,بقا فيا الحال هينت ماهدرناش
jity lhna 3la 9ebli,you came for me,جيتي لهنا على قبلي
nta kat39el 3la koulchi,you remember everything,نتا كتعقل على كلشي
kheti jaha lberd,my sister got cold,ختي جهة البرد
ana machi men dak nou3 li kaystaghel nas,I'am not the type of men who use people ,أنا ماشي من داك نوع لي كايستغل ناس
bjouj biona kanfakrou haka,we both think like this,بجوج بيونية كنفكرو هكا
wach katsam3ini wla la?,do you hear me or not ?,واش كاتسمعيني ولا لا؟
sou9 kan 3amer bzaf,the market was so full ,سوق كان عامر بزاف
3lach jma3ty l7watj bla khbari,why you did collect the clothes without my knoweldge,علاش جمعتي الحواتج بلا خباري
makayn ta sabab bach neb9aw hna,there is no reason to stay here,مكاين تا سباب باش نبقاو هنا
dina ghir 3la hdartek,we done what you told,دينا غير على حدارتك
hadi machi f3ayl bnat nas,this are not the act of good girl,هادي ماشي فعايل بنات ناس
3lach katsawli?,why are you asking?,علاش كتسولي؟
hdartek katkhalini nchek fik,your talk let me doubt you,حدرتك كتخليني نشكك فيك
3endak diri chi haja tnedmi 3liha,don't do something that you will regret,عندك ديري شي حاجة تندمي عليها
7na matam3inch fik,we are not eating meat,حنا ماتمعينش فيك
kheli liha he9ha,leave her some,خلي ليها هقها
hya rah maklatch nhar kamlou,he haven't eaten for whole day,هي راه ماكلتش نهار كاملو
3awedi lia 3la rasek chwia,tell us a little about you,عاويدي ليا على راسك شوية
achnou smitha,what her name,اشنو سميتها
wach t9der t3arafni 3liha,can you introduce me to her,واش تقدر تعرفني عليها
hia machi men lmoustawa dyalk,she is from your status,هيا ماشي من المستوى ديالك
mab9ach lwa9t bezzaf,not much of time is left,مابقاش الوقت بزّاف
7ettou lnas yaklou,give people to eat,حطّو لناس ياكلو
daba ytejme3 chmelkoum,your familly will gather ,دابا يتجمع شملكوم
had choufat dyalk ma3ejbounich,I don't like these looks,هاد شوفات ديالك ماعجبونيش
twahashtha bzaf,i miss her a lot,توهشتها بزاف
ghadi nthalaw fik,we will treat you will,غادي نثلو فيك
matkhali ta haja tma,don't leave anything there,ماتخلي تا حاجة تما
tfedel asidi merhba,welcome sir,تفضل أسيدي مرحبا
hada nhar kbir,this is a big day,هادا نهار كبير
ma3rafena mandirou,we didn't know what to do,ماعرفنا مانديرو
kan baghi ydiha,he wanted to take her,كان باغي يديها
hadchi khliwh 3la 7sabi,this is on me,هادشي خليوه على حسابي
yketer khirek,may god give you more wealth,يكتر خيرك
ghir gelt njarab,I just wanted to try,غير قلت نجرب
jatni katchebeh liha,she look like her,جاتني كاتشبه ليها
wach kadjik chi haja?,is she related to you ?,واش كادجيك شي حاجة؟
mchit nraje3 wahed lmada,i did go to revise a course,مشيت نراجع واحد المادة
lkhdit t9edya Г№men l7anout,i took merchandise from the shop,الخديت تقدية غومن لحانوت
wselt m3atla lyouma,i did arrive late today,وسلت معطلة اليوم
lyouma tla9it m3a sahebti,today i meet up with my friend,اليوم تلاقيت مع صاحبتي
telbou menna nsaybou chi wra9,they demanded that we do some papers,تلبو منّا نصايبو شي وراق
dakchi 3lach kent 3ewala masda9ch,thing that i was counting on didn't succeed,داكشي علاش كنت عاوالا ماسدقش
wa9ila hadi hya lekhra lina,i think this is our last time,واقيلا هادي هيا الأخرى لينا
khdit lbac dyali had l3am,I get my bac this year,خديت الباك ديالي هاد العام
khasini lflous bach ndir l3amalia,I need money to do surgery,خاصيني الفلوس باش ندير العملية
mchina l3roubia,we did go to the village,مشينا العروبية
dert portabli ytcharga,i put my phone to charge,درت بورتابلي يتشارجى
hahya jat 3awtani,here she come,هاهيا جات عاوتاني
lah yekhlef 3lik,thank you,الله يخلف عليك
7tit lmakla fo9 tabla,I put the food on table,حيت الماكلة فوق الطابلة
khdit 7wayj jdad lyouma,I bought some new clothes today,خديت حوايج جداد اليوم
bghtiy tkhwi 3lina dwar,do you want to leave ,بغيتي تخوي علينا دور
koulchi ghla 3lina,everything is expensive for her,كولشي غلا علينا
kayn chi hed kayskha bdarou,is there anyone who want to leave home,كاين شي هد كايسخا بالدارو
mli ntfakarkoum nji nchoufkoum,when i remember i will come to visit,ملي نتفكركوم نجي نشوفكوم
3edak ntouma tensawnio,don't forget about me,عدك نتوما تنساونيو
khelit drari bouhedhoum,I left the children alone,خليت دراري بوحدهوم
makanetch hkak,i wasn't like this,ماكانش هكاك
slemt 3la bent jiran,say hi to neighbor daughter,سلمت على بنت جيران
b9aw fia hadouk nas,I feel saad for those people,بقاو فيا هادوك ناس
tfarajt fwahed lfilm wa3er,i watched a good movie,تفرجت فواحد الفيلم واعر
3jbatni lebsa dyalk,i like your dress,عجباتني لبسة ديالك
3ziz 3lia ntfaraj f tboreda,i like to watch tboreda,عزيز عليا نتفرج فتبوريدة
ma3jabnich lmatch dyal lyouma,i didn't like today game,ماعجبنيش الماتش ديال اليوم
jat na9sa manemchich,it will look disrespectful if I don't go,جات نقصة مانمشيش
mchit cherit zeri3a,i did go to buy fry,مشيت شريط زريعة
ma3ejbatnich lhedra li sma3t,i don't like what i have heard,ماعجباتنيش لهدرا لي سمعت
bghit nchreb l7rira,i want to eat soup,بغيت نشرب الحريرة
sm7oulna la derna likoum chi haja,forgave us if we did something to you,سمحولنا لا درنا ليكوم شي حاجة
tana maskhitch bikoum,i didn't get enough of you,تانا ماسخيتش بيكوم
ghadi nji ntel 3likoum,I will come to see you,غادي نجي نتل عليكوم
d3iw m3ana,pray to god with us,دعيو معانا
yalah aweldi nmchiw,okey we will go,يالاه أولدي نمشيو
b9at darani lblasa,this place hurt me,بقات دارني البلاصة
khdit dakchi li bghit,I took what I want,خديت داكشي لي بغيت
ma3jabnich lmouselsal,i didn't like tv show,ماعجبنيش الموسل
wach 3endek chi film jdid,do you have a new movie,واش عندك شي فلم جديد؟
l3rousa jat ghzala,the bride is beautiful,الروسا جات غزالة
mab9ina 3arfin mnin nchedouk,we don't know how to caught you,مابقينا عارفين منين نشدوك
safi ghir gelsi blach,just sit ,صافي غير جلسي بلاش
9yst lkeswa jatni sghira,I tried the dress is so small for me,قيست الكسوة جاتني صغيرة
chti trbia dyalk fach weslatna,look your education where got us,شتي تربية ديالك فاش وصلاتنا
hadchi fach fale7,this what you know to do,هادشي فاش فالح
khsrna zbabel dyal lflous,we lost a lot of money,خسرنا زبال ديال الفلوس
dir 3e9lek,be smart,دير عقلك
drari mab9awch sghar,they are not children anymore,الدراري مابقاوش صغار
hadchi 3lach rbitihoum,that's why you educate them,هادشي علاش ربيتيهوم
nsitou bli rakoum khout,you forgot that are you brothers,نسيتو بلي راكوم خوت
ana wyah kanbghiw ba3diyatna,we love each other,أنا وياه كانبغيو باقدياتنا
banli khsni n3awedlkoum trbiya,it seems I need to reducate you,بانلي خاصني نعاودلكوم التربية
ana weld l2asel,I'am men of honour,أنا ولد الأصل
makangoulch chi haja dyal l3ib,i don't say something bad,ماكانڭولش شي حاجة ديال لعيب
wkat7el 3lia fomek,and you open your mouth,وكاتحل عليا فمك
dergi 3lia kmartek,I don't want to see you anymore,درغي عليا كمرتك
wmazal zayd fih,and you still doing it,ومازال زايد فيه
khasni ntayab lkhoubz,I need to cook some breads,خاصني نتياب الخبز
makanch3lik derbou,you shouldn't beat him,ماكانشعليك دربو
li kayhmek hwa lmachari3 dyalk,what important for you is your business,لي كايهمك هو المشاريع ديالك
ghaydirou lina fdi7a gdam nas,they will make us a scandel in front of people,غايديرو لينا فديحة جدام ناس
men sba7 hwa sad 3lih bitou,he lock up in his room from the morning,من صباح هو صد عليه بيتو
kighandir nehder m3ah,how I can speak to him,كيغاندير نهضر معاه
ghadi yhedmou lia koulchi fkhatra wehda,they will ruin everything,غادي يهدمو ليا كولشي فخطرة وحدة
ana dekht,I'am confused,أنا دخت
fin mcha ?,where he did go,فين مشا؟
fin ghaykoun mcha hada?,where he did go,فين غايكون مشا هادا؟
kayjibou lia de7k,they make me laugh,كايجيبو ليا دحك
nkherjou nt3chaw wnjiw,we go have dinner and get back,نخرجو نتعشاو ونجيو
yak be3da ?,okey ?,ياك بعدا ?
achnou balek f hdarty?,what you think of my talk ,اشنو بالك ف حدارتي؟
zidi chwia d lmel7a,add a little bit of salt,زيدي شوية ديال الملحة
safi wach mchity?,did you go ?,صافي واش مشيتي؟
tandem m3aha l7al,she regret it,تانديم معاها لحال
maghankamlouch bjouj,we won't finish together,ماغانكملوش بجوج
fekrouni 3endak nsaha,make me remember ,فكروني عندك نصاحا
ghadi yeb9a tmak,he will stay there ,غادي يبقى تماك
wach sma3tih ach kaygoul,do you heard what he says,واش سمعتيه اش كايڭول
ghateb9a 3aych bou7dek,you will keep living alone,غاتبقى عايش بوحدك
re7lou che7al hada,they moved long time ago,رحلو شحال هادا
ma3raftihoumch fin mchaw,i don't know where they go,ماعرفتيهومش فين مشاو
9elbi maghaykhtach,I love you so much,قلبي ماغايختش
3awtani nefs lhedra,again the same discussion,عاوتاني نفس لهدرا
3tini la carte dyalk,give me your card,عطيني لا كارت ديالك
ma3edi ta7ed hnaya,i have no one here,ماعدي تاحد هنايا
kan9eleb 3la khedma,I'am searching for a job,كانقلب على خدمة
ana ghadi n3awenak,I will help you,أنا غادي نعاونك
mchiti ghalta,you were wrong,مشيتي غلطة
sm7ouli ghanemchi,forgive me I will go,سمحولي غانمشي
b7ala hechan?,are you shy,بحالا هشان؟
yakma tahiya herbat?,is she also run away ?,ياكما تاهية هربات؟
koulchi kaykhafd ala rasou,everyone protect themselves,كولشي كايخافد ألا راسو
ghadi tchetet had l3a2ila hadi,you will ruin this familly,غادي تشطت هاد العائلة هادي
khasek tebda men lawal,you need to begin from the start,خاصك تبدا من الأول
3endak ychemtek,don't get fooled by him,عندك يشمتك
makantch hka,she wasn't like that,ماكانتش هكا
mcha wkhellani,he did go and left me,مشا وخلاني
wach sa7ebtek hadi?,is this your friend ?,واش صاحبتك هادي؟
makencth 3arfa bli machi walidiya,i didn't know that is not my parent,ماكنشت عارفة بلي ماشي واليديا
kanou ghir mrabyinha,she was adopted,كانو غير مربيها
li bghitha kate7der,we could bring what you want,لي بغيتها كتحدر
bghawni ghir 3la mesla7ethoum,they want me only for their interest,بغاوني غير على مسلحوم
kanou kays3aw biha,they were using her to beg for money,كانو كايسعاو بيها
bdit kant3alam ngheni,i started to learn to sing,بديت كنتعلم نغني
haadchi makentch ghadi n3erfou,I would have not knowen this,هادشي ماكنتش غادي نعرفو
net sba7mal9itouch,i woke up in the morning and i didn't find them,نت سبحمالقيتوش
hadchi aslant 3lahkhrejt,this why I got out,هادشي أصلانت علياخرجت
ana brasi talfa,I'am confused myself,أنا براسي طلفة
ma3arfach fin ne3ti ras,i don't know who gonna help me,ماعرفاش فين نعطي راس
fayta khdama f chi blasa,did you ever work in another place,فيتا خدمة في شي بلاصة
khask thalay f client,you need to treat client very well,خاصك ثلي في كليانت
kan9alab 3la rasi,I'am looking for job,كنقلب على راسي
khirek sabe9,you have showered us with godness,خيرك سابق
ghansab9ouk nti lewla,we will be first,غانسابقوك نتي لأولى
khasni darori nekhdem,I must work,خاصني ضروري نخدم
ki sif ki cheta,like  summer like winter,كي سيف كي شتا
bghatek t7ezriha,she want you to beg her,بغاتك تحزريها
3arfin chkoun dar hadchi,we know who did this,عارفين شكون دار هادشي
hadchi khla3ni,this scare me,هادشي خلاعني
yalah tkelem lia 3lik,he talk to me about you a moment ago,يالاه تكلم ليا عليك
maghant7achmmouch m3akoum,i won't get embarassed with them,ماغانتحاشموش معاكوم
7ellou wdnikoum,open your ears,حلّو ودنيكوم
had l9adia sahla,this is easy,هاد القضية ساهلة
malha kayna ghir hia,what wrong with her is she the only one,مالها كاينة غير هيا
mebrouk 3lina w alik,congrats on us and you,مبروك علينا و عليك
7ta hna sbat chat,rain fall also here,حتى هنا سبات شات
ghir choufi kifach diri lia,see how you can do it,غير شوفي كيفاش ديري ليا
maghadich ndirlik lmachakil,i won't make you problem,ماغاديش نديرليك المشاكل
mat7etinich fhad lmaw9if,don't put me in this situation,ماتحطينيش فهاد الموقف
matsed3inich ana frasi,don't bother me i know,ماتسدعينيش أنا فراسي
jebtek lhna bach tkhedmi,I bring you here to work,جبتك لهنا باش تخدمي
makaynch li kaykhaf alik kter mni,there is no one that worry about you more then me,مكاينش لي كايخاف اليك كتر مني
makansme3 walou,i hear nothing,ماكانسمع والو
chada 7sabi,i'am counting,شادا حسابي
ghadi nsedou daba,we are closing now,غادي نسدو دابا
wach katbati hna?,are you living here,واش كتبتي هنا؟
bghaw yzawjouni,they want to get me married,بغاو يزوجوني
tanti b7ali,you also like me,تانتي بحالي
koulchi kay3rafni kankhrej m3ah,everyone know that I go out with him,كولشي كايعرفني كانخرج معاه
koulchi kan kayhder 3lia,everyone was talking about her,كولشي كان كايهدر عليا
kif b9at daba,how is she now ,كيف بقات دابا
khliwha terta7 chwia,let it rest a little,خليوها ترتاح شوية
kheseha tkhrej men hna,she need to go out from here,خسيها تخرج من هنا
bentek kebrat,you daughter grow up,بنتك كبرات
ahna nchoufou had l9anon fin ghadi ywasalna,we will see this law what will get us to,أهنا نشوفو هاد القانون فين غادي يوصلنا
3endak diri lia chi mouchkil,don't make her trouble,عندك ديري ليا شي مشكل
la nti kadiri lia ghir lmachakil,you only make me problem,لا نتي كاديري ليا غير المشاكل
yalah tel3i ltomobil,okey jump in the car,يالاه تلعي لتوموبيل
ana ghadi ntkalaf biha,I will take care of her,أنا غادي نتكلف بيها
serbi deghya,be quick,سربي دغيا
wach man9derch n3awal alik ftahaja,can i count on you something,واش مانقدرش نعاول اليك فتاحاجة
thla lia f weldi,take care of my son,تهلا ليا ف ولدي
lyoma mshit bkri,today i went early,اليوم مشيت بكري
gbila wslt shwiya m3tla,I was late ,قبيلا وصلت شوية معطلة
l9it lbnat kaytsnawni,I find the girls waiting for me,لقيت البنات كايتسناوني
lmdrassa kant b3ida,the school is so far,المدرسة كانت بعيدة
hzit sak t9il bzaf,I lift a heavy bag,حزيت ساك تقيل بزاف
khdit hadik lwr9a mn l idara,I took this paper from administration,خديت هاديك لورقة من لإدارة
wash bant lik lkswa li knt labsa sbah,did you see the dress i was waearing in the morning,واش بانت ليك الكسوة لي كنت لابسة صباح
maban liya tahaja,i saw nothing,مابان ليا تاهاجا
9lbti flmariyo t9dr tkoun tma,search in the closet you may find it there,قلبتي فالمريو تقدر تكون تما
ghir ka ndhk m3ak,I'am just joking',غير كا ندخك معاك
malk t9l9ti,why are you upset,مالك تقلقتي
ana mymknsh nsa wladi,I can't forget my  children,أنا ميمكنش نسا ولادي
khask takhd dwa diyalk flw9t,you need to take your medicine in time,خاصك تاخد دوا ديالك فالوقت
ajiw 3ndi bzrba mat3tlosh,come quickly to me don't be late,أجيو عندي بزربة ماتعطلوش
mrhba bik fdark,welcome into your home,مرحبا بيك فدارك
shtk makliti walo,I see that you didn't eat,سهتك ماكليتي والو
shhal fik diyal shiki,your dressing style is exaggerate,شهال فيك ديال الشكي
3jbni salon diyalkom,i like your salon,عجبني سالون ديالكم
yallah rkbi ftonobil,okey jumb in the car,يالله ركبي فتونوبيل
srbi rask rhna m3tlin bzaf,be quick we are very late,السربي راسك راهنا معطلين بزاف
ana ghandwz lik khti hdri m3aha,I will pass you my sister talk to her,أنا غاندوز ليك ختي هدري معاها
ma dirish fbalk,don't worry,ما ديريش فبالك
kolshi gha yfot,everything will pass,كلشي غا يفوت
ash knti baghi dir,what do you want to do,أش كنتي باغي دير
wash nta 3dk shi 39l wla matksabosh,do have some brain or not,واش نتا عدك شي عقل ولا ماتكسبوش
drni khatri bzaf,it hurt my heart a lot,درني خاطري بزاف
kmli makltk,finish your food,كملي ماكلتك
sh3li tlfaza bzrba,turn on the tv quickly,شعلي تلفازة بزربة
ghadi ybdaw l akhbar daba,news will start now,غادي يبداو الأخبار دابا
ash had lhdra katgol,what are you saying ?,أش هاد لهدرا كاتقول
hadshi maymknsh,this is impossible,هادشي مايمكنش
khask tkon frhan daba,you need to be happy now,خاصك تكون فرحان دابا
malk tayh 3lik dim,why are you sad,مالك تايه عليك ديم
shtk ga3ma swlti,I see that you haven't asked about me,سهتك ڭاعما سولتي
wash 9ysti lhwayj,did try the clothes,واش قيستي الحوايج
shrit lik shi hwayj gha y3jbok,I bought some thing you will like,شريت ليك شي هوايج غا يعجبوك
ki jatk tssafira,how was the trip,كي جاتك تصفيرة
ghadi nrd lih lbal,I will take care of him,غادي نرد ليه البال
koni haniya,be fine,كوني هانية
ga3ma tshtni rask m3ah,don't worry about me,ڭاعما تشتني راسك معاه
bnti liya 3yiti bzaf lyom,you look tired today,بنتي ليا عييتي بزاف اليوم
lkhdma b3ida liya 3la dar,work is too far from home,الخدمة بعيدة ليا على دار
mshit safrt n9di wahd lgharad, i did travel to make omething,مشيت سافرت نقدي واحد الغرض
maghant3tlsh,i won't be late,ماغانتعطلش
kon hani ghadi nwslo bkri,don't worry we will arrive early,كون هاني غادي نوصلو بكري
ila 3jbtak njib lik bhalha,if you like it I will bring it yo you,إيلا عجبتك نجيب ليك بهالها
gha ntsnak t3yt iya,I will wait for you to call me,غا نتسناك تعييت إيا
wayak tnsa hadakshi li gtlik,don't ever forget what i told you,واياك تنسا هاداكشي لي قتليك
wash sm3ti ash galo gbila,did you hear what they say before,واش سمعتي أش قالو قبيلا
drni khatri ana b3da,it hurt me ,درني خاطري أنا بعدا
kongha tsnt lhdrtk,I wish I have listen to your advice,كونغها تسنت لهدرتك
madaro fiha myslah,they did bad things,مادارو فيها مصلح
kon knt fblasto kon mshit,if I were in his place I would have gone,كون كنت فبلاستو كون مشيت
ga3ma 3jbatni hdrthom,I don't like their talk,ڭاعما عجباتني هدرتهوم
bghit nty9o walayni ma9drtsh,i want to trust him but i can't,بغيت نتيقو والايني ماقدرتش
mtlitish jiti,you didn't come,متلتيتيش جيتي
amdra kolshi bikhir,everything is okay,أمدرا كلشي بيخير
